ID;locale;name
019dd109-2944-4e2e-9fd4-a2136da244f5;hi;वोक्सवैगन
019dd109-2944-4e2e-9fd4-a2136da244f5;de;Volkswagen
019dd109-2944-4e2e-9fd4-a2136da244f5;ja;フォルクスワーゲン
019dd109-2944-4e2e-9fd4-a2136da244f5;ta;வோல்க்ஸ்வேகன்
019dd109-2944-4e2e-9fd4-a2136da244f5;ar;فولكس فاجن

8eab4d8d-b58e-4475-8310-9247f2cba629;hi;होंडा
8eab4d8d-b58e-4475-8310-9247f2cba629;de;Honda
8eab4d8d-b58e-4475-8310-9247f2cba629;ja;ホンダ
8eab4d8d-b58e-4475-8310-9247f2cba629;ta;ஹோண்டா
8eab4d8d-b58e-4475-8310-9247f2cba629;ar;هوندا

d4b604e1-d11c-4795-bf33-4166a82ccad5;hi;बीएमडब्ल्यू
d4b604e1-d11c-4795-bf33-4166a82ccad5;de;BMW
d4b604e1-d11c-4795-bf33-4166a82ccad5;ja;BMW
d4b604e1-d11c-4795-bf33-4166a82ccad5;ta;பிஎம்டபிள்யூ
d4b604e1-d11c-4795-bf33-4166a82ccad5;ar;بي إم دبليو
